unique_values,counts
Information Technology and Services,73626
Computer Software,48555
Internet,39838
Marketing and Advertising,35830
Financial Services,22513
Real Estate,10707
Hospital & Health Care,10023
Management Consulting,9640
Telecommunications,9401
Construction,8985
Retail,8856
Health Wellness and Fitness,8778
Venture Capital & Private Equity,8621
Biotechnology,7717
Electrical/Electronic Manufacturing,7220
Design,6925
Education Management,6754
Automotive,6642
Medical Devices,6541
Food & Beverages,6270
Insurance,6230
Higher Education,5821
Entertainment,5686
Nonprofit Organization Management,5657
Oil & Energy,5646
Staffing and Recruiting,5463
Investment Management,5313
Consumer Goods,5258
Renewables & Environment,5213
E-Learning,4996
Mechanical or Industrial Engineering,4909
Leisure Travel & Tourism,4784
Apparel & Fashion,4692
Pharmaceuticals,4369
Media Production,4358
Banking,4287
Consumer Services,4283
Online Media,4165
Research,3973
Publishing,3903
Human Resources,3853
Computer Games,3769
Hospitality,3726
Consumer Electronics,3725
Law Practice,3598
Accounting,3594
Logistics and Supply Chain,3536
Computer & Network Security,3490
Transportation/Trucking/Railroad,3469
Events Services,3415
Environmental Services,3271
Machinery,3210
Legal Services,3077
Sports,3050
Information Services,2870
Industrial Automation,2849
Professional Training & Coaching,2827
Public Relations and Communications,2820
Mining & Metals,2797
Food Production,2622
Architecture & Planning,2480
Broadcast Media,2452
Aviation & Aerospace,2402
Wholesale,2319
Building Materials,2290
Chemicals,2280
Printing,2245
Music,2175
Medical Practice,2100
Graphic Design,2044
Business Supplies and Equipment,1909
Market Research,1837
Investment Banking,1834
Facilities Services,1800
Computer Hardware,1799
Utilities,1791
Civil Engineering,1777
Security and Investigations,1733
Semiconductors,1658
Airlines/Aviation,1640
Civic & Social Organization,1633
Defense & Space,1627
Restaurants,1608
Computer Networking,1561
Government Administration,1553
Wireless,1453
Furniture,1409
Outsourcing/Offshoring,1318
Commercial Real Estate,1273
Plastics,1272
International Trade and Development,1271
Packaging and Containers,1235
Individual & Family Services,1229
Sporting Goods,1226
Farming,1215
Cosmetics,1185
Newspapers,1166
Luxury Goods & Jewelry,1109
Photography,1099
Motion Pictures and Film,1056
Textiles,986
Wine and Spirits,986
Maritime,957
Program Development,933
Philanthropy,916
Translation and Localization,898
Mental Health Care,891
Writing and Editing,817
Primary/Secondary Education,728
Think Tanks,708
Fund-Raising,699
Arts and Crafts,675
Capital Markets,670
Gambling & Casinos,658
Nanotechnology,634
Executive Office,614
Animation,540
Veterinary,532
Museums and Institutions,528
Public Safety,527
Public Policy,513
Import and Export,501
Government Relations,478
Paper & Forest Products,461
Fine Art,451
Recreational Facilities and Services,445
Performing Arts,414
International Affairs,386
Warehousing,357
Package/Freight Delivery,291
Religious Institutions,262
Glass Ceramics & Concrete,261
Political Organization,231
Alternative Medicine,224
Law Enforcement,205
Supermarkets,200
Dairy,185
Military,169
Libraries,162
Shipbuilding,135
Railroad Manufacture,101
Fishery,99
Tobacco,74
Alternative Dispute Resolution,70
Ranching,53
Judiciary,45
Legislative Office,20
